index,domainID,domainFamilyDescription
1250,PF04043,Plantinvertase/pectinmethylesteraseinhibitor
1251,PF04045,Arp2/3complex: 34kDsubunitp34-Arc
1252,PF04050,Up-frameshiftsuppressor2
1253,PF04051,Transportproteinparticle(TRAPP)component
1254,PF04054,CCR4-Notcomplexcomponent: Not1
1255,PF04055,RadicalSAMsuperfamily
1256,PF04057,Replicationfactor-Aprotein1: N-terminaldomain
1257,PF04062,ARP2/3complexARPC3(21kDa)subunit
1258,PF04065,Not1N-terminaldomain: CCR4-Notcomplexcomponent
1259,PF04068,PossibleFer4-likedomaininRNaseLinhibitor: RLI
1260,PF04072,Leucinecarboxylmethyltransferase
1261,PF04073,Aminoacyl-tRNAeditingdomain
1262,PF04082,Fungalspecifictranscriptionfactordomain
1263,PF04083,Partialalpha/beta-hydrolaselipaseregion
1264,PF04089,BRICHOSdomain
1265,PF04099,Sybindin-likefamily
1266,PF04103,CD20-likefamily
1267,PF04104,EukaryoticandarchaealDNAprimase: largesubunit
1268,PF04109,AutophagyproteinApg9
1269,PF04110,Ubiquitin-likeautophagyproteinApg12
1270,PF04112,Mak10subunit: NatCN(alpha)-terminalacetyltransferase
1271,PF04114,Gaa1-like: GPItransamidasecomponent
1272,PF04116,Fattyacidhydroxylasesuperfamily
1273,PF04117,Mpv17/PMP22family
1274,PF04130,GammatubulincomplexcomponentC-terminal
1275,PF04133,Vacuolarproteinsorting55
1276,PF04136,Sec34-likefamily
1277,PF04137,EndoplasmicReticulumOxidoreductin1(ERO1)
1278,PF04140,Isoprenylcysteinecarboxylmethyltransferase(ICMT)family
1279,PF04142,Nucleotide-sugartransporter
1280,PF04146,YT521-B-likedomain
1281,PF04153,NOT2/NOT3/NOT5family
1282,PF04161,Arv1-likefamily
1283,PF04178,Got1/Sft2-likefamily
1284,PF04190,Proteinofunknownfunction(DUF410)
1285,PF04191,Phospholipidmethyltransferase
1286,PF04192,Utp21specificWD40associatedputativedomain
1287,PF04193,PQlooprepeat
1288,PF04194,Programmedcelldeathprotein2: C-terminalputativedomain
1289,PF04209,homogentisate1: 2-dioxygenase
1290,PF04212,MIT(microtubuleinteractingandtransport)domain
1291,PF04218,CENP-BN-terminalDNA-bindingdomain
1292,PF04263,Thiaminpyrophosphokinase: catalyticdomain
1293,PF04265,Thiaminpyrophosphokinase: vitaminB1bindingdomain
1294,PF04321,RmlDsubstratebindingdomain
1295,PF04371,Porphyromonas-typepeptidyl-argininedeiminase
1296,PF04383,KilA-Ndomain
1297,PF04388,Hamartinprotein
1298,PF04389,PeptidasefamilyM28
1299,PF04406,TypeIIBDNAtopoisomerase
1300,PF04408,Helicaseassociateddomain(HA2)
1301,PF04419,4F5proteinrelateddisorderedregion
1302,PF04420,CHD5-likeprotein
1303,PF04433,SWIRMdomain
1304,PF04437,RINT-1/TIP-1family
1305,PF04444,CatecholdioxygenaseNterminus
1306,PF04488,Glycosyltransferasesugar-bindingregioncontainingDXDmotif
1307,PF04494,WD40associatedregioninTFIIDsubunit: NTD2domain
1308,PF04500,FLYWCHzincfingerdomain
1309,PF04502,Familyofunknownfunction(DUF572)
1310,PF04505,Interferon-inducedtransmembraneprotein
1311,PF04515,Plasma-membranecholinetransporter
1312,PF04516,CP2transcriptionfactor
1313,PF04520,Senescenceregulator
1314,PF04525,LURP-one-related
1315,PF04535,Domainofunknownfunction(DUF588)
1316,PF04539,Sigma-70region3
1317,PF04547,Calcium-activatedchloridechannel
1318,PF04548,AIG1family
1319,PF04560,RNApolymeraseRpb2: domain7
1320,PF04563,RNApolymerasebetasubunit
1321,PF04564,U-boxdomain
1322,PF04565,RNApolymeraseRpb2: domain3
1323,PF04566,RNApolymeraseRpb2: domain4
1324,PF04567,RNApolymeraseRpb2: domain5
1325,PF04568,MitochondrialATPaseinhibitor: IATP
1326,PF04572,Alpha1: 4-glycosyltransferaseconservedregion
1327,PF04573,Signalpeptidasesubunit
1328,PF04577,Proteinofunknownfunction(DUF563)
1329,PF04578,Proteinofunknownfunction: DUF594
1330,PF04587,ADP-specificPhosphofructokinase/Glucokinaseconservedregion
1331,PF04588,Hypoxiainducedproteinconservedregion
1332,PF04592,SelenoproteinP: Nterminalregion
1333,PF04598,Gasderminporeformingdomain
1334,PF04621,PEA3subfamilyETS-domaintranscriptionfactorNterminaldomain
1335,PF04626,Dec-1protein: Cterminalregion
1336,PF04646,Proteinofunknownfunction: DUF604
1337,PF04648,Yeastmatingfactoralphahormone
1338,PF04667,cAMP-regulatedphosphoprotein/endosulfineconservedregion
1339,PF04675,DNAligaseNterminus
1340,PF04679,ATPdependentDNAligaseCterminalregion
1341,PF04699,ARP2/3complex16kDasubunit(p16-Arc)
1342,PF04709,Anti-Mullerianhormone: Nterminalregion
1343,PF04710,Pellino
1344,PF04712,Radialspokehead-likeprotein
1345,PF04715,AnthranilatesynthasecomponentI: Nterminalregion
1346,PF04727,ELMO/CED-12family
1347,PF04731,Caudallikeproteinactivationregion
1348,PF04732,Intermediatefilamenthead(DNAbinding)region
1349,PF04739,5'-AMP-activatedproteinkinasebetasubunit: interactiondomain
1350,PF04749,PLAC8family
1351,PF04755,PAP_fibrillin
1352,PF04756,OST3/OST6family: transporterfamily
1353,PF04757,Pex2/Pex12aminoterminalregion
1354,PF04769,Mating-typeproteinMATalpha1HMG-box
1355,PF04776,ProteinMS5
1356,PF04777,Erv1/Alrfamily
1357,PF04782,Proteinofunknownfunction(DUF632)
1358,PF04784,Proteinofunknownfunction: DUF547
1359,PF04791,LMBR1-likemembraneprotein
1360,PF04800,ETCcomplexIsubunitconservedregion
1361,PF04801,Sin-likeproteinconservedregion
1362,PF04803,Cor1/Xlr/Xmrconservedregion
1363,PF04810,Sec23/Sec24zincfinger
1364,PF04811,Sec23/Sec24trunkdomain
1365,PF04815,Sec23/Sec24helicaldomain
1366,PF04818,CIDdomain
1367,PF04832,SOULheme-bindingprotein
1368,PF04833,COBRA-likeprotein
1369,PF04840,Vps16: C-terminalregion
1370,PF04844,Transcriptionalrepressor: ovate
1371,PF04849,HAP1N-terminalconservedregion
1372,PF04880,NUDEprotein: C-terminalconservedregion
1373,PF04884,VitaminB6photo-protectionandhomoeostasis
1374,PF04900,Fcf1
1375,PF04908,SH3-binding: glutamicacid-richprotein
1376,PF04909,Amidohydrolase
1377,PF04928,Poly(A)polymerasecentraldomain
1378,PF04931,DNApolymerasephi
1379,PF04939,Ribosomebiogenesisregulatoryprotein(RRS1)
1380,PF04961,Formiminotransferase-cyclodeaminase
1381,PF04968,CHORD
1382,PF04969,CSdomain
1383,PF04970,Lecithinretinolacyltransferase
1384,PF04979,Proteinphosphataseinhibitor2(IPP-2)
1385,PF04983,RNApolymeraseRpb1: domain3
1386,PF04992,RNApolymeraseRpb1: domain6
1387,PF04997,RNApolymeraseRpb1: domain1
1388,PF04998,RNApolymeraseRpb1: domain5
1389,PF05000,RNApolymeraseRpb1: domain4
1390,PF05001,RNApolymeraseRpb1C-terminalrepeat
1391,PF05005,Janus/Ocnusfamily(Ocnus)
1392,PF05008,Vesicletransportv-SNAREproteinN-terminus
1393,PF05010,Transformingacidiccoiled-coil-containingprotein(TACC): C-terminal
1394,PF05019,CoenzymeQ(ubiquinone)biosynthesisproteinCoq4
1395,PF05022,SRP40: C-terminaldomain
1396,PF05026,Dcp2: boxAdomain
1397,PF05033,Pre-SETmotif
1398,PF05039,Agoutiprotein
1399,PF05041,Pecanexprotein(C-terminus)
1400,PF05056,Proteinofunknownfunction(DUF674)
1401,PF05060,N-acetylglucosaminyltransferaseII(MGAT2)
1402,PF05089,Alpha-N-acetylglucosaminidase(NAGLU)tim-barreldomain
1403,PF05091,Eukaryotictranslationinitiationfactor3subunit7(eIF-3)
1404,PF05093,Cytokine-inducedanti-apoptosisinhibitor1: Fe-Sbiogenesis
1405,PF05127,Helicase
1406,PF05149,Paraflagellarrodprotein
1407,PF05151,PhotosystemIIreactioncentreMprotein(PsbM)
1408,PF05153,Myo-inositoloxygenase
1409,PF05172,Nup53/35/40-typeRNArecognitionmotif
1410,PF05175,Methyltransferasesmalldomain
1411,PF05180,DNLzincfinger
1412,PF05185,PRMT5arginine-N-methyltransferase
1413,PF05186,Dpy-30motif
1414,PF05191,Adenylatekinase: activesitelid
1415,PF05192,MutSdomainIII
1416,PF05193,PeptidaseM16inactivedomain
1417,PF05198,TranslationinitiationfactorIF-3: N-terminaldomain
1418,PF05199,GMCoxidoreductase
1419,PF05208,ALG3protein
1420,PF05210,Sproutyprotein(Spry)
1421,PF05222,Alaninedehydrogenase/PNT: N-terminaldomain
1422,PF05224,NDT80/PhoGlikeDNA-bindingfamily
1423,PF05236,TranscriptioninitiationfactorTFIIDcomponentTAF4family
1424,PF05253,U11-48K-likeCHHCzincfinger
1425,PF05254,Uncharacterisedproteinfamily(UPF0203)
1426,PF05255,Uncharacterisedproteinfamily(UPF0220)
1427,PF05300,Proteinofunknownfunction(DUF737)
1428,PF05361,PKC-activatedproteinphosphatase-1inhibitor
1429,PF05368,NmrA-likefamily
1430,PF05421,Proteinofunknownfunction(DUF751)
1431,PF05424,Duffybindingdomain
1432,PF05444,Proteinofunknownfunction(DUF753)
1433,PF05450,Nicastrin
1434,PF05460,Originrecognitioncomplexsubunit6(ORC6)
1435,PF05470,Eukaryotictranslationinitiationfactor3subunit8N-terminus
1436,PF05477,Surfeitlocusprotein2(SURF2)
1437,PF05495,CHYzincfinger
1438,PF05497,Destabilase
1439,PF05498,RapidALkalinizationFactor(RALF)
1440,PF05502,Dynactinp62family
1441,PF05553,Cottonfibreexpressedprotein
1442,PF05556,Calcineurin-bindingprotein(Calsarcin)
1443,PF05577,SerinecarboxypeptidaseS28
1444,PF05585,Putativepeptidase(DUF1758)
1445,PF05602,Cleftlipandpalatetransmembraneprotein1(CLPTM1)
1446,PF05603,Proteinofunknownfunction(DUF775)
1447,PF05605,Droughtinduced19protein(Di19): zinc-binding
1448,PF05615,Thocomplexsubunit7
1449,PF05617,Prolamin-like
1450,PF05622,HOOKproteincoiled-coilregion
1451,PF05624,Lipolysisstimulatedreceptor(LSR)
1452,PF05630,Necrosisinducingprotein(NPP1)
1453,PF05631,Sugar-tranasporters: 12TM
1454,PF05633,ProteinBYPASS1-related
1455,PF05634,APORNA-binding
1456,PF05640,Na: K-AtpaseInteractingprotein
1457,PF05641,Agenetdomain
1458,PF05645,RNApolymeraseIIIsubunitRPC82
1459,PF05648,Peroxisomalbiogenesisfactor11(PEX11)
1460,PF05649,PeptidasefamilyM13
1461,PF05653,MagnesiumtransporterNIPA
1462,PF05670,NFACTproteinRNAbindingdomain
1463,PF05679,ChondroitinN-acetylgalactosaminyltransferase
1464,PF05680,ATPsynthaseEchain
1465,PF05686,Glycosyltransferasefamily90
1466,PF05695,Plantproteinofunknownfunction(DUF825)
1467,PF05698,Bacterialtriggerfactorprotein(TF)C-terminus
1468,PF05699,hATfamilyC-terminaldimerisationregion
1469,PF05705,Eukaryoticproteinofunknownfunction(DUF829)
1470,PF05721,Phytanoyl-CoAdioxygenase(PhyH)
1471,PF05725,FNIPRepeat
1472,PF05726,PirinC-terminalcupindomain
1473,PF05739,SNAREdomain
1474,PF05758,Ycf1
1475,PF05761,5'nucleotidasefamily
1476,PF05773,RWDdomain
1477,PF05783,Dyneinlightintermediatechain(DLIC)
1478,PF05794,T-complexprotein11
1479,PF05795,PlasmodiumvivaxVirprotein
1480,PF05811,Eukaryoticproteinofunknownfunction(DUF842)
1481,PF05821,NADH-ubiquinoneoxidoreductaseASHIsubunit(CI-ASHIorNDUFB8)
1482,PF05839,Apc13pprotein
1483,PF05843,Suppressorofforkedprotein(Suf)
1484,PF05871,ESCRT-IIcomplexsubunit
1485,PF05875,Ceramidase
1486,PF05881,2': 3'-cyclicnucleotide3'-phosphodiesterase(CNPorCNPase)
1487,PF05891,AdoMetdependentprolinedi-methyltransferase
1488,PF05902,4.1proteinC-terminaldomain(CTD)
1489,PF05903,PPPDEputativepeptidasedomain
1490,PF05915,Eukaryoticproteinofunknownfunction(DUF872)
1491,PF05920,HomeoboxKNdomain
1492,PF05938,Plantself-incompatibilityproteinS1
1493,PF05958,tRNA(Uracil-5-)-methyltransferase
1494,PF05970,PIF1-likehelicase
1495,PF05978,IonchannelregulatoryproteinUNC-93
1496,PF05983,MED7protein
1497,PF05994,CytoplasmicFragile-Xinteractingfamily
1498,PF06001,DomainofUnknownFunction(DUF902)
1499,PF06003,Survivalmotorneuronprotein(SMN)
1500,PF06009,LamininDomainII
1501,PF06012,DomainofUnknownFunction(DUF908)
1502,PF06017,Unconventionalmyosintail: actin-andlipid-binding
1503,PF06022,PlasmodiumvariantantigenproteinCir/Yir/Bir
1504,PF06027,Solutecarrierfamily35
1505,PF06031,SERTAmotif
1506,PF06046,ExocystcomplexcomponentSec6
1507,PF06047,NF-kappa-B-activatingproteinC-terminaldomain
1508,PF06060,Pre-pro-megakaryocytepotentiatingfactorprecursor(Mesothelin)
1509,PF06068,TIP49P-loopdomain
1510,PF06079,Apyrase
1511,PF06098,Radialspokeprotein3
1512,PF06200,tifydomain
1513,PF06201,PITHdomain
1514,PF06220,U1zincfinger
1515,PF06244,Coiled-coildomain-containingprotein124/Oxs1
1516,PF06268,Fascindomain
1517,PF06273,Plantspecificeukaryoticinitiationfactor4B
1518,PF06297,PETDomain
1519,PF06320,GCN5-likeprotein1(GCN5L1)
1520,PF06337,DUSPdomain
1521,PF06350,Hormone-sensitivelipase(HSL)N-terminus
1522,PF06367,DiaphanousFH3Domain
1523,PF06371,DiaphanousGTPase-bindingDomain
1524,PF06418,CTPsynthaseN-terminus
1525,PF06423,GWT1
1526,PF06444,NADHdehydrogenasesubunit2C-terminus
1527,PF06455,NADHdehydrogenasesubunit5C-terminus
1528,PF06459,RyanodineReceptorTM4-6
1529,PF06461,DomainofUnknownFunction(DUF1086)
1530,PF06462,Propeller
1531,PF06463,MolybdenumCofactorSynthesisC
1532,PF06466,PCAF(P300/CBP-associatedfactor)N-terminaldomain
1533,PF06467,MYM-typeZincfingerwithFCSsequencemotif
1534,PF06470,SMCproteinsFlexibleHingeDomain
1535,PF06472,ABCtransportertransmembraneregion2
1536,PF06473,FGFbindingprotein1(FGF-BP1)
1537,PF06507,Auxinresponsefactor
1538,PF06512,Sodiumiontransport-associated
1539,PF06522,NADH-ubiquinonereductasecomplex1MLRQsubunit
1540,PF06535,Repulsiveguidancemolecule(RGM)N-terminus
1541,PF06565,DUF1126PH-likedomain
1542,PF06573,Churchillprotein
1543,PF06582,Titinrepeat
1544,PF06602,Myotubularin-likephosphatasedomain
1545,PF06609,Fungaltrichotheceneeffluxpump(TRI12)
1546,PF06624,RibosomeassociatedmembraneproteinRAMP4
1547,PF06625,Proteinofunknownfunction(DUF1151)
1548,PF06628,Catalase-relatedimmune-responsive
1549,PF06631,Proteinofunknownfunction(DUF1154)
1550,PF06644,ATP11protein
1551,PF06645,Microsomalsignalpeptidase12kDasubunit(SPC12)
1552,PF06650,SHR-bindingdomainofvacuolar-sortingassociatedprotein13
1553,PF06658,Proteinofunknownfunction(DUF1168)
1554,PF06697,Proteinofunknownfunction(DUF1191)
1555,PF06708,Proteinofunknownfunction(DUF1195)
1556,PF06733,DEAD_2
1557,PF06747,CHCHdomain
1558,PF06749,Proteinofunknownfunction(DUF1218)
1559,PF06772,BacteriallowtemperaturerequirementAprotein(LtrA)
1560,PF06784,Uncharacterisedproteinfamily(UPF0240)
1561,PF06809,Neuralproliferationdifferentiationcontrol-1protein(NPDC1)
1562,PF06813,Nodulin-like
1563,PF06814,Lungseventransmembranereceptor
1564,PF06839,GRFzincfinger
1565,PF06842,Proteinofunknownfunction(DUF1242)
1566,PF06862,Utp25: U3smallnucleolarRNA-associatedSSUprocessomeprotein25
1567,PF06880,Proteinofunknownfunction(DUF1262)
1568,PF06881,RNApolymeraseIItranscriptionfactorSIII(Elongin)subunitA
1569,PF06910,Maleenhancedantigen1(MEA1)
1570,PF06912,Proteinofunknownfunction(DUF1275)
1571,PF06916,Proteinofunknownfunction(DUF1279)
1572,PF06920,Dockhomologyregion2
1573,PF06951,GroupXIIsecretoryphospholipaseA2precursor(PLA2G12)
1574,PF06959,RecQhelicaseprotein-like5(RecQ5)
1575,PF06964,Alpha-L-arabinofuranosidaseC-terminaldomain
1576,PF06966,Proteinofunknownfunction(DUF1295)
1577,PF06972,Proteinofunknownfunction(DUF1296)
1578,PF06974,WS/DGATC-terminaldomain
1579,PF06985,Heterokaryonincompatibilityprotein(HET)
1580,PF06999,Sucrase/ferredoxin-like
1581,PF07002,Copine
1582,PF07004,Sperm-tailPG-richrepeat
1583,PF07039,SGF29tudor-likedomain
1584,PF07059,Proteinofunknownfunction(DUF1336)
1585,PF07139,Proteinofunknownfunction(DUF1387)
1586,PF07145,Ataxin-2C-terminalregion
1587,PF07175,Osteoregulin
1588,PF07177,Neuralized
1589,PF07217,HeterokaryonincompatibilityproteinHet-C
1590,PF07218,Rhoptry-associatedprotein1(RAP-1)
1591,PF07228,StageIIsporulationproteinE(SpoIIE)
1592,PF07247,Alcoholacetyltransferase
1593,PF07276,Apopolysialoglycoprotein(PSGP)
1594,PF07298,NnrUprotein
1595,PF07393,ExocystcomplexcomponentSec10
1596,PF07479,NAD-dependentglycerol-3-phosphatedehydrogenaseC-terminus
1597,PF07500,TranscriptionfactorS-II(TFIIS): centraldomain
1598,PF07502,MANECdomain
1599,PF07521,Zn-dependentmetallo-hydrolaseRNAspecificitydomain
1600,PF07522,DNArepairmetallo-beta-lactamase
1601,PF07525,SOCSbox
1602,PF07527,HairyOrange
1603,PF07531,NHR1homologytoTAF
1604,PF07535,DBFzincfinger
1605,PF07539,Down-regulatedinmetastasis
1606,PF07540,Nucleolarcomplex-associatedprotein
1607,PF07545,Vestigial/Tondufamily
1608,PF07546,EMIdomain
1609,PF07562,NineCysteinesDomainoffamily3GPCR
1610,PF07565,Band3cytoplasmicdomain
1611,PF07571,TAF6C-terminalHEATrepeatdomain
1612,PF07576,BRCA1-associatedprotein2
1613,PF07645,Calcium-bindingEGFdomain
1614,PF07646,Kelchmotif
1615,PF07647,SAMdomain(Sterilealphamotif)
1616,PF07648,Kazal-typeserineproteaseinhibitordomain
1617,PF07650,KHdomain
1618,PF07651,ANTHdomain
1619,PF07653,VariantSH3domain
1620,PF07654,ImmunoglobulinC1-setdomain
1621,PF07679,ImmunoglobulinI-setdomain
1622,PF07684,NOTCHprotein
1623,PF07686,ImmunoglobulinV-setdomain
1624,PF07687,Peptidasedimerisationdomain
1625,PF07690,MajorFacilitatorSuperfamily
1626,PF07691,PA14domain
1627,PF07692,Lowiron-inducibleperiplasmicprotein
1628,PF07699,Putativeephrin-receptorlike
1629,PF07701,HemeNObindingassociated
1630,PF07707,BTBAndC-terminalKelch
1631,PF07714,Proteintyrosineandserine/threoninekinase
1632,PF07716,Basicregionleucinezipper
1633,PF07717,Oligonucleotide/oligosaccharide-binding(OB)-fold
1634,PF07719,Tetratricopeptiderepeat
1635,PF07722,PeptidaseC26
1636,PF07723,LeucineRichRepeat
1637,PF07724,AAAdomain(Cdc48subfamily)
1638,PF07727,Reversetranscriptase(RNA-dependentDNApolymerase)
1639,PF07728,AAAdomain(dynein-relatedsubfamily)
1640,PF07731,Multicopperoxidase
1641,PF07732,Multicopperoxidase
1642,PF07735,F-boxassociated
1643,PF07741,Brf1-likeTBP-bindingdomain
1644,PF07744,SPOCdomain
1645,PF07749,EndoplasmicreticulumproteinERp29: C-terminaldomain
1646,PF07762,Proteinofunknownfunction(DUF1618)
1647,PF07765,KIP1-likeprotein
1648,PF07766,LETM1-likeprotein
1649,PF07767,Nop53(60Sribosomalbiogenesis)
1650,PF07774,ERmembraneproteincomplexsubunit1: C-terminal
1651,PF07776,Zinc-fingerassociateddomain(zf-AD)
1652,PF07777,G-boxbindingproteinMFMR
1653,PF07780,Spb1C-terminaldomain
1654,PF07797,Proteinofunknownfunction(DUF1639)
1655,PF07801,Proteinofunknownfunction(DUF1647)
1656,PF07810,TMCdomain
1657,PF07815,Abl-interactorHHR
1658,PF07821,Alpha-amylaseC-terminalbeta-sheetdomain
1659,PF07851,TMPIT-likeprotein
1660,PF07857,Transmembranefamily: TMEM144oftransporters
1661,PF07859,alpha/betahydrolasefold
1662,PF07876,StressresponsiveA/BBarrelDomain
1663,PF07883,Cupindomain
1664,PF07885,Ionchannel
1665,PF07887,Calmodulinbindingprotein-like
1666,PF07888,Calciumbindingandcoiled-coildomain(CALCOCO1)like
1667,PF07893,Proteinofunknownfunction(DUF1668)
1668,PF07899,Frigida-likeprotein
1669,PF07911,Proteinofunknownfunction(DUF1677)
1670,PF07912,ERp29: N-terminaldomain
1671,PF07914,Proteinofunknownfunction(DUF1679)
1672,PF07923,N1221-likeprotein
1673,PF07934,8-oxoguanineDNAglycosylase: N-terminaldomain
1674,PF07942,N2227-likeprotein
1675,PF07946,Proteinofunknownfunction(DUF1682)
1676,PF07947,YhhNfamily
1677,PF07959,L-fucokinase
1678,PF07962,ReplicationForkProtectionComponentSwi3
1679,PF07965,Integrinbetataildomain
1680,PF07970,Endoplasmicreticulumvesicletransporter
1681,PF07971,Glycosylhydrolasefamily92
1682,PF07973,ThreonylandAlanyltRNAsynthetasesecondadditionaldomain
1683,PF07974,EGF-likedomain
1684,PF07983,X8domain
1685,PF07984,Nucleotidyltransferase
1686,PF07989,CentrosominN-terminalmotif1
1687,PF07992,Pyridinenucleotide-disulphideoxidoreductase
1688,PF07993,Malesterilityprotein
1689,PF08016,Polycystincationchannel
1690,PF08022,FAD-bindingdomain
1691,PF08030,FerricreductaseNADbindingdomain
1692,PF08031,Berberineandberberinelike
1693,PF08035,Opioidsneuropeptide
1694,PF08043,Xinrepeat
1695,PF08064,UME(NUC010)domain
1696,PF08065,KI67R(NUC007)repeat
1697,PF08068,DKCLD(NUC011)domain
1698,PF08069,RibosomalS13/S15N-terminaldomain
1699,PF08071,RS4NT(NUC023)domain
1700,PF08073,CHDNT(NUC034)domain
1701,PF08079,RibosomalL30N-terminaldomain
1702,PF08084,PROCT(NUC072)domain
1703,PF08100,Dimerisationdomain
1704,PF08127,PeptidasefamilyC1propeptide
1705,PF08132,S-adenosyl-l-methioninedecarboxylaseleaderpeptide
1706,PF08142,AARP2CN(NUC121)domain
1707,PF08148,DSHCT(NUC185)domain
1708,PF08149,BING4CT(NUC141)domain
1709,PF08154,NLE(NUC135)domain
1710,PF08159,NUC153domain
1711,PF08167,rRNAprocessing/ribosomebiogenesis
1712,PF08190,PIH1N-terminaldomain
1713,PF08205,CD80-likeC2-setimmunoglobulindomain
1714,PF08208,DNA-directedRNApolymeraseIsubunitRPA34.5
1715,PF08210,APOBEC-likeN-terminaldomain
1716,PF08224,Domainofunknownfunction(DUF1719)
1717,PF08232,Striatinfamily
1718,PF08235,LNS2(Lipin/Ned1/Smp2)
1719,PF08238,Sel1repeat
1720,PF08240,AlcoholdehydrogenaseGroES-likedomain
1721,PF08241,Methyltransferasedomain
1722,PF08242,Methyltransferasedomain
1723,PF08243,SPT2chromatinprotein
1724,PF08246,Cathepsinpropeptideinhibitordomain(I29)
1725,PF08263,LeucinerichrepeatN-terminaldomain
1726,PF08264,Anticodon-bindingdomainoftRNAligase
1727,PF08266,Cadherin-like
1728,PF08268,F-boxassociateddomain
1729,PF08276,PAN-likedomain
1730,PF08282,haloaciddehalogenase-likehydrolase
1731,PF08284,Retroviralaspartylprotease
1732,PF08286,Spc24subunitofNdc80
1733,PF08295,Sin3familyco-repressor
1734,PF08302,FungaltRNAligasephosphodiesterasedomain
1735,PF08320,PIG-X/PBN1
1736,PF08321,PPP5TPRrepeatregion
1737,PF08323,Starchsynthasecatalyticdomain
1738,PF08326,Acetyl-CoAcarboxylase: centralregion
1739,PF08327,ActivatorofHsp90ATPasehomolog1-likeprotein
1740,PF08333,Proteinofunknownfunction(DUF1725)
1741,PF08337,PlexincytoplasmicRasGAPdomain
1742,PF08344,TransientreceptorionchannelII
1743,PF08347,N-terminalCTNNB1binding
1744,PF08352,Oligopeptide/dipeptidetransporter: C-terminalregion
1745,PF08367,PeptidaseM16Cassociated
1746,PF08384,Pro-opiomelanocortin: N-terminalregion
1747,PF08385,Dyneinheavychain: N-terminalregion1
1748,PF08389,Exportin1-likeprotein
1749,PF08390,TRAM1-likeprotein
1750,PF08393,Dyneinheavychain: N-terminalregion2
1751,PF08395,7tmChemosensoryreceptor
1752,PF08409,Domainofunknownfunction(DUF1736)
1753,PF08418,DNApolymerasealphasubunitBN-terminal
1754,PF08423,Rad51
1755,PF08433,ChromatinassociatedproteinKTI12
1756,PF08434,Calcium-activatedchloridechannelNterminal
1757,PF08436,1-deoxy-D-xylulose5-phosphatereductoisomeraseC-terminaldomain
1758,PF08441,Integrinalpha
1759,PF08442,ATP-graspdomain
1760,PF08445,FR47-likeprotein
1761,PF08446,PASfold
1762,PF08447,PASfold
1763,PF08449,UAAtransporterfamily
1764,PF08451,Adenosine/AMPdeaminaseN-terminal
1765,PF08458,Plantpleckstrinhomology-likeregion
1766,PF08466,InwardrectifierpotassiumchannelN-terminal
1767,PF08474,Myelintranscriptionfactor1
1768,PF08506,Cse1
1769,PF08512,HistonechaperoneRttp106-like
1770,PF08516,ADAMcysteine-rich
1771,PF08542,ReplicationfactorCC-terminaldomain
1772,PF08547,ComplexIintermediate-associatedprotein30(CIA30)
1773,PF08564,Cdc37Cterminaldomain
1774,PF08574,TranscriptionfactorIwr1
1775,PF08577,PI31proteasomeregulator
1776,PF08583,CytochromecoxidasebiogenesisproteinCmc1like
1777,PF08590,Domainofunknownfunction(DUF1771)
1778,PF08597,TranslationinitiationfactoreIF3subunit
1779,PF08604,NucleoporinNup153-like
1780,PF08609,NucleotideexchangefactorFes1
1781,PF08613,Cyclin
1782,PF08618,TranscriptionfactorOpi1
1783,PF08620,RPAP1-like: C-terminal
1784,PF08625,Utp13specificWD40associateddomain
1785,PF08628,SortingnexinCterminal
1786,PF08643,Fungalfamilyofunknownfunction(DUF1776)
1787,PF08644,FACTcomplexsubunit(SPT16/CDC68)
1788,PF08653,DASHcomplexsubunitDam1
1789,PF08654,DASHcomplexsubunitDad2
1790,PF08657,DASHcomplexsubunitSpc34
1791,PF08659,KRdomain
1792,PF08662,EukaryotictranslationinitiationfactoreIF2A
1793,PF08669,GlycinecleavageT-proteinC-terminalbarreldomain
1794,PF08686,PLAC(proteaseandlacunin)domain
1795,PF08689,MediatorcomplexsubunitMed5
1796,PF08699,Argonautelinker1domain
1797,PF08711,TFIIShelicalbundle-likedomain
1798,PF08726,Ca2+insensitiveEFhand
1799,PF08728,CRT10
1800,PF08736,FERMadjacent(FA)
1801,PF08742,C8domain
1802,PF08743,Nse4C-terminal
1803,PF08773,CathepsinCexclusiondomain
1804,PF08774,VRR-NUCdomain
1805,PF08781,TranscriptionfactorDP
1806,PF08784,ReplicationproteinACterminal
1807,PF08785,KuCterminaldomainlike
1808,PF08790,LYAR-typeC2HCzincfinger
1809,PF08797,HIRANdomain
1810,PF08825,E2bindingdomain
1811,PF08880,QLQ
1812,PF08913,VinculinBindingSite
1813,PF08953,Domainofunknownfunction(DUF1899)
1814,PF08969,USP8dimerisationdomain
1815,PF09011,HMG-boxdomain
1816,PF09030,Crebbinding
1817,PF09032,Siahinteractingprotein: Nterminal
1818,PF09034,TRADD: N-terminaldomain
1819,PF09068,EFhand
1820,PF09070,PFU(PLAAfamilyubiquitinbinding)
1821,PF09072,TranslationmachineryassociatedTMA7
1822,PF09079,CDC6: Cterminalwingedhelixdomain
1823,PF09088,MIF4Glike
1824,PF09118,Domainofunknownfunction(DUF1929)
1825,PF09133,SANTA(SANTAssociated)
1826,PF09139,Phosphatidatecytidylyltransferase: mitochondrial
1827,PF09166,Biliverdinreductase: catalytic
